,manufacturer,car_name,year,no_of_owners,kms_driven,city,transmission,mileage,fuel_type,mode_of_sale,seats,engine,max_power,price,links
210,Ford,Figo,2011,First,"80,000",udupi,Manual,20.0,Diesel,Individual,5,1399,68,2.7,https://www.cardekho.com/used-car-details/used-Ford-Figo-2010-2012-Diesel-ZXI-cars-Udupi_4A105D8E06D37AC612015C2310D328B3.htm
211,Maruti,Swift,2009,Second,"1,67,000",udupi,Manual,17.8,Diesel,Individual,5,1248,75,2.5,https://www.cardekho.com/used-car-details/used-Maruti-Swift-2004-2011-Vdi-BSIII-cars-Udupi_02E9E6807BF6002BA74B9125EC26A003.htm
212,Chevrolet,OptraSRV,2007,Second,"90,000",udupi,Manual,12.3,Petrol,Individual,5,1598,101,1.4,https://www.cardekho.com/used-car-details/used-Chevrolet-OptraSRV-1.6-cars-Udupi_6C577EB0FFD5C979866217316A541662.htm
213,Maruti,Wagon,2011,Fourth & Abov,"90,000",udupi,Manual,18.9,Petrol,Individual,5,998,67.1,2.45,https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-2010-2012-VXI-BS-IV-cars-Udupi_9B21A981516841EA42837C281952DF97.htm
214,Ford,Figo,2018,First,"5,400",panaji,Manual,18.16,Petrol,Individual,5,1196,86.8,6,https://www.cardekho.com/used-car-details/used-Ford-Aspire-1.2-Ti-VCT-Titanium-cars-Panaji_366592D56AC00DB535A9B52537EFD49A.htm
215,Maruti,SX4,2007,First,"3,76,385",panaji,Manual,15.0,Petrol,Individual,5,1586,104.68,1.6,https://www.cardekho.com/used-car-details/used-Maruti-SX4-2007-2012-Zxi-BSIII-cars-Panaji_AF0FFB649EC7285536E546B88501A75A.htm
216,Maruti,Wagon,2011,First,"1,28,000",panaji,Manual,18.9,Petrol,Individual,5,998,67.1,2.55,https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-2010-2012-VXI-BS-IV-cars-Panaji_827BE86BF9133C1A80BC9EA1FACE2276.htm
217,Ford,Ikon,2007,Second,"80,000",panaji,Manual,13.8,Petrol,Individual,5,1299,70,1.2,https://www.cardekho.com/used-car-details/used-Ford-Ikon-1.3-Flair-cars-Panaji_249F4ACF4D4E7AF5F1DE276B83D85A01.htm
218,Renault,Duster,2013,Fourth & Abov,"81,000",panaji,Manual,19.01,Diesel,Individual,5,1461,108.45,3.4,https://www.cardekho.com/used-car-details/used-Renault-Duster-2012-2015-110PS-Diesel-RxZ-cars-Panaji_22A15080CE89FD7AD36F8D5A73B7A585.htm
219,Hyundai,i10,2011,Fourth & Abov,"90,000",panaji,Manual,20.36,Petrol,Individual,5,1197,78.9,1.6,https://www.cardekho.com/used-car-details/used-Hyundai-i10-Magna-cars-Panaji_D8C37750943D171B7DA9DE0D01C19A40.htm
220,Ford,Ikon,2007,Second,"80,000",panaji,Manual,13.8,Petrol,Individual,5,1299,70,1,https://www.cardekho.com/used-car-details/used-Ford-Ikon-1.3-Flair-cars-Panaji_7B17D6438324EAEEFE47771EA35DB2DE.htm
221,Hyundai,i20,2018,First,"33,600",panaji,Manual,21.19,Diesel,Individual,5,1396,88.73,8.5,https://www.cardekho.com/used-car-details/used-Hyundai-i20-Active-1.4-SX-cars-Panaji_E785365F9D7109792116DCAAB3896F2B.htm
222,Nissan,Sunny,2014,First,"1,00,000",panaji,Manual,21.64,Diesel,Individual,5,1461,84.8,3.5,https://www.cardekho.com/used-car-details/used-Nissan-Sunny-2011-2013-Diesel-XL-cars-Panaji_939EEFC6E3C4893B4A5F11B11B5D6BB5.htm
