,manufacturer,car_name,year,no_of_owners,kms_driven,city,transmission,mileage,fuel_type,mode_of_sale,seats,engine,max_power,price,links
287,Honda,Amaze,2016,First,"50,000",kochi,Manual,18.0,Petrol,Individual,5,1198,86.7,4.6,https://www.cardekho.com/used-car-details/used-Honda-Amaze-2013-2016-S-i-Vtech-cars-Kochi_A21CFA96D130AB9AC80287D53C1393C2.htm
288,Nissan,X-Trail,2013,Third,"1,34,000",kochi,Automatic,13.29,Diesel,Individual,5,1995,147.6,8.5,https://www.cardekho.com/used-car-details/used-Nissan-X-Trail-2009-2014-SLX-AT-cars-Kochi_81F62A5D8843666870A120A473020EDF.htm
289,Maruti,Ertiga,2016,First,"86,000",kochi,Manual,24.52,Diesel,Individual,7,1248,88.5,7,https://www.cardekho.com/used-car-details/used-Maruti-Ertiga-SHVS-VDI-cars-Kochi_03C9C6C9D21320DF8281C27A6FB58891.htm
290,Renault,Duster,2015,First,"30,000",kochi,Manual,20.45,Diesel,Individual,5,1461,83.8,7,https://www.cardekho.com/used-car-details/used-Renault-Duster-2012-2015-85PS-Diesel-RxL-Plus-cars-Kochi_5B73FB1DC626E6CE71B5B4F2C7803B62.htm
291,Maruti,Swift,2013,First,"1,38,000",kochi,Manual,18.6,Petrol,Individual,5,1197,85.8,3.5,https://www.cardekho.com/used-car-details/used-Maruti-Swift-2011-2014-VXI-cars-Kochi_7057C3356C14E45F345E5252D7ABB898.htm
292,Mahindra,Verito,2013,First,"20,000",kochi,Manual,20.8,Diesel,Individual,5,1461,64.1,3.3,https://www.cardekho.com/used-car-details/used-Mahindra-Verito-Vibe-1.5-dCi-D6-cars-Kochi_110A52715380FB34D14426DB3AC9D5AD.htm
293,Toyota,Etios,2016,First,"1,02,000",kochi,Manual,23.59,Diesel,Individual,5,1364,67.05,6.45,https://www.cardekho.com/used-car-details/used-Toyota-Etios-2014-2016-GD-cars-Kochi_479CC1A5B16D71AAB0CDF939F877171E.htm
294,Volkswagen,Polo,2011,Second,"1,57,000",kochi,Manual,22.07,Diesel,Individual,5,1199,73.9,3,https://www.cardekho.com/used-car-details/used-Volkswagen-Polo-2009-2013-Diesel-Comfortline-1.2L-cars-Kochi_405570D1E1B0F7042F8125D0E14F91F4.htm
295,Hyundai,i20,2015,First,"86,992",kochi,Manual,18.6,Petrol,Dealer,5,1197,81.83,4.4,https://www.cardekho.com/used-car-details/used-Hyundai-i20-2015-2017-Magna-1.2-cars-Kochi_99234CD32B0FFDF50FD9E00EB80FA60B.htm
296,Ford,Figo,2012,Second,"68,307",kochi,Manual,20.0,Diesel,Dealer,5,1399,68,2,https://www.cardekho.com/used-car-details/used-Ford-Figo-2010-2012-Diesel-ZXI-cars-Kochi_382A72D3DB0F76BFE47BC3CA9F946380.htm
297,Ford,Figo,2016,First,"62,494",kochi,Manual,19.4,Petrol,Dealer,5,1194,94.93,4.4,https://www.cardekho.com/used-car-details/used-Ford-Aspire-Titanium-BSIV-cars-Kochi_1BB236EEC67677858CB06EAE4FA0B1D6.htm
298,Ford,Ecosport,2017,First,"55,022",kochi,Manual,17.0,Petrol,Dealer,5,1497,121.36,6.5,https://www.cardekho.com/used-car-details/used-Ford-Ecosport-2015-2021-1.5-Petrol-Trend-BSIV-cars-Kochi_7730EB1E3D3E0BCB67447410FC0E475F.htm
299,Ford,Figo,2016,First,"22,996",kochi,Manual,18.16,Petrol,Dealer,5,1196,86.8,4.25,https://www.cardekho.com/used-car-details/used-Ford-Figo-2015-2019-1.2P-Trend-MT-cars-Kochi_D450B84D8E0E6EB28FE625A319C3DF9B.htm
300,Ford,Ecosport,2018,First,"1,245",kochi,Manual,17.0,Petrol,Dealer,5,1497,121.36,10.25,https://www.cardekho.com/used-car-details/used-Ford-Ecosport-2015-2021-1.5-Petrol-Titanium-Plus-BSIV-cars-Kochi_CCE8F22BDA3A8E8E4BDEF1967A411247.htm
301,Toyota,Innova,2019,First,"25,000",agra,Manual,13.68,Diesel,Individual,7,2393,147.8,14.5,https://www.cardekho.com/used-car-details/used-Toyota-Innova-Crysta-2016-2020-2.4-GX-MT-BSIV-cars-Agra_D279956B94C88DDF0C7B5506F3BD5812.htm
302,Maruti,Swift,2018,First,"65,600",agra,Manual,28.4,Diesel,Dealer,5,1248,74.02,6.25,https://www.cardekho.com/used-car-details/used-Maruti-Dzire-2017-2020-VDI-cars-Agra_99739D6159A922C0E297B58BC89F8BA3.htm
303,Hyundai,Elantra,2014,First,"1,00,000",agra,Manual,22.7,Diesel,Dealer,5,1582,126.24,5.85,https://www.cardekho.com/used-car-details/used-Hyundai-Elantra-2012-2015-CRDi-SX-cars-Agra_2A653FDAB44DBC39BF44E9C182BB4E5C.htm
304,Land,Rover,2017,First,"35,800",agra,Automatic,12.83,Diesel,Dealer,7,1999,148.31,35.75,https://www.cardekho.com/used-car-details/used-Land-Rover-Discovery-Sport-2015-2020-TD4-SE-cars-Agra_CE8E545567B97AB7B33654FC4C49097E.htm
305,Toyota,Innova,2010,First,"81,826",agra,Manual,12.8,Diesel,Dealer,7,2494,102,2.83,https://www.cardekho.com/used-car-details/used-Toyota-Innova-2004-2011-2.5-G4-Diesel-7-seater-cars-Agra_E00AC26A1285AA03F5AA5AAF3B8F0CFD.htm
306,Maruti,Baleno,2016,First,"47,600",agra,Manual,21.4,Petrol,Dealer,5,1197,83.1,5.85,https://www.cardekho.com/used-car-details/used-Maruti-Baleno-1.2-Delta-cars-Agra_C942A094AEE6E80225348F3B81ADC99E.htm
307,Toyota,Innova,2016,First,"1,38,000",agra,Automatic,11.36,Diesel,Dealer,7,2755,171.5,14.9,https://www.cardekho.com/used-car-details/used-Toyota-Innova-Crysta-2016-2020-2.8-ZX-AT-BSIV-cars-Agra_025452097AD51334389238B2DC41C8D8.htm
308,Toyota,Innova,2015,First,"1,11,400",agra,Manual,12.99,Diesel,Dealer,7,2494,100.6,8.5,https://www.cardekho.com/used-car-details/used-Toyota-Innova-2.5-G-(Diesel)-7-Seater-cars-Agra_96FD2398EFA26A35B05F92D13BA12599.htm
309,Honda,Amaze,2015,First,"92,700",agra,Manual,18.0,Petrol,Dealer,5,1198,86.7,4.5,https://www.cardekho.com/used-car-details/used-Honda-Amaze-2013-2016-SX-i-VTEC-cars-Agra_639FE2ECA5FF864014C781F26EE6722E.htm
310,Volvo,S,2015,First,"1,17,000",agra,Automatic,13.1,Diesel,Dealer,5,2400,215,13.5,https://www.cardekho.com/used-car-details/used-Volvo-S-80-D5-cars-Agra_B81A979C57A29F6A56CC5941107BC79B.htm
311,Land,Rover,2016,Second,"60,000",agra,Automatic,12.83,Diesel,Individual,7,2179,147.5,30,https://www.cardekho.com/used-car-details/used-Land-Rover-Discovery-Sport-2015-2020-TD4-SE-7S-cars-Agra_8E9B1B1368CFD221E493A0123F16D52B.htm
312,Maruti,Ciaz,2016,Second,"88,400",agra,Manual,28.09,Diesel,Dealer,5,1248,88.5,5.9,https://www.cardekho.com/used-car-details/used-Maruti-Ciaz-2014-2017-VDi-Plus-SHVS-cars-Agra_2C389E6344B717FC6552598601A13353.htm
313,Toyota,Innova,2014,First,"1,10,200",agra,Manual,12.99,Diesel,Dealer,7,2494,100.6,7.9,https://www.cardekho.com/used-car-details/used-Toyota-Innova-2.5-G-(Diesel)-7-Seater-BS-IV-cars-Agra_7926366F3E44FE4A1EC66C9CD17F9531.htm
314,Mercedes-Benz,GL-Class,2012,First,"1,86,900",agra,Automatic,11.3,Diesel,Dealer,7,2987,254.8,16.9,https://www.cardekho.com/used-car-details/used-Mercedes-Benz-GL-Class-350-CDI-Blue-Efficiency-cars-Agra_AB364DB3B686B84254DACCB7577706F1.htm
315,Mercedes-Benz,New,2014,Second,"62,000",agra,Automatic,14.84,Diesel,Dealer,5,2143,170,14.5,https://www.cardekho.com/used-car-details/used-Mercedes-Benz-New-C-Class-220-CDI-AT-cars-Agra_38467A1EAD0F42B67BFAC471FB9F38E8.htm
316,BMW,X3,2011,Fourth & Abov,"72,900",agra,Automatic,16.55,Diesel,Dealer,5,2993,258,11.9,https://www.cardekho.com/used-car-details/used-BMW-X3-2011-2013-xDrive30d-cars-Agra_FB6FE5E0C163827C4A0F2D56997A6540.htm
317,Volkswagen,Vento,2013,Second,"69,000",agra,Manual,20.54,Diesel,Dealer,5,1598,103.6,3.75,https://www.cardekho.com/used-car-details/used-Volkswagen-Vento-2010-2013-Diesel-Highline-cars-Agra_767C910B0592C60E790B84EDDDB931A6.htm
318,Audi,Q7,2013,Second,"90,000",agra,Automatic,12.07,Diesel,Dealer,7,2967,241.4,20,https://www.cardekho.com/used-car-details/used-Audi-Q7-2006-2020-3.0-TDI-quattro-cars-Agra_5CD1EFE5FBABFDC2611CB96F5EF37C23.htm
319,Maruti,Swift,2013,First,"30,000",agra,Manual,19.1,Petrol,Individual,5,1197,85.8,3.5,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-2011-2014-VXI-cars-Agra_5808AA65BA8532A7B8FBE37E5A67884F.htm
320,Maruti,Vitara,2017,First,"59,000",agra,Manual,24.3,Diesel,Dealer,5,1248,88.5,6.3,https://www.cardekho.com/used-car-details/used-Maruti-Vitara-Brezza-2016-2020-LDi-cars-Agra_6A2F318862BDC08943091A6601EBE146.htm
321,Honda,WR-V,2019,First,"8,022",amritsar,Manual,17.5,Petrol,Dealer,5,1199,88.7,8.41,https://www.cardekho.com/used-car-details/used-Honda-WRV-2017-2020-i-VTEC-VX-cars-Amritsar_CC764FBF4B4762D033D71BE0118E0E86.htm
322,Maruti,Swift,2014,Second,"62,646",amritsar,Manual,23.4,Diesel,Dealer,5,1248,74,4.08,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-2011-2014-VDI-cars-Amritsar_2831E20509ADC3F89CA7BD045419C6ED.htm
323,Chevrolet,Tavera,2006,First,"2,30,000",amritsar,Manual,14.8,Diesel,Individual,10,2499,80,1.4,https://www.cardekho.com/used-car-details/used-Chevrolet-Tavera-2003-2007-ELITE-LS-B3-10-Seats-BSIII-cars-Amritsar_42BFDB907F43AE0658646BCE88C3F156.htm
324,Toyota,Innova,2012,Second,"80,000",amritsar,Manual,12.99,Diesel,Individual,7,2494,100,5,https://www.cardekho.com/used-car-details/used-Toyota-Innova-2012-2013-2.5-G-(Diesel)-7-Seater-cars-Amritsar_877B5101C89C9761F078207CB3BC736D.htm
325,Toyota,Innova,2012,Second,"80,000",amritsar,Manual,12.99,Diesel,Individual,7,2494,100,5,https://www.cardekho.com/used-car-details/used-Toyota-Innova-2012-2013-2.5-G-(Diesel)-7-Seater-cars-Amritsar_3CC9DC3AC9C51DC7B057268DA1A7CE7F.htm
326,Mahindra,Scorpio,2012,First,"80,000",amritsar,Manual,14.0,Diesel,Individual,8,2523,75,4,https://www.cardekho.com/used-car-details/used-Mahindra-Scorpio-2009-2014-EX-cars-Amritsar_4146FC84525FDE037D944E29EF5725EA.htm
327,Fiat,Grande,2012,First,"1,10,000",amritsar,Manual,20.3,Diesel,Individual,5,1248,75,2.55,https://www.cardekho.com/used-car-details/used-Fiat-Grande-Punto-2009-2013-Active-(Diesel)-cars-Amritsar_A21FD6DFE8289947A41DC90C1949D511.htm
328,Hyundai,Santro,2008,Second,"70,000",amritsar,Manual,17.92,Petrol,Individual,5,1086,62.1,1.3,https://www.cardekho.com/used-car-details/used-Hyundai-Santro-Xing-GLS-cars-Amritsar_F8E3A1DE3DF048FB95B198835119ADFF.htm
329,Hyundai,Creta,2017,First,"1,600",amritsar,Manual,19.67,Diesel,Dealer,5,1582,126.2,12.1,https://www.cardekho.com/used-car-details/used-Hyundai-Creta-2015-2020-1.6-CRDi-SX-cars-Amritsar_20EE9009E25F53F46A28FEFCAE42718B.htm
330,Volkswagen,Ameo,2019,First,"10,000",amritsar,Manual,19.44,Petrol,Dealer,5,999,75,6.4,https://www.cardekho.com/used-car-details/used-Volkswagen-Ameo-1.0-MPI-Comfortline-Plus-cars-Amritsar_83123705B1C5610555EF5738D7541CBE.htm
331,Mahindra,KUV,2016,First,"18,000",amritsar,Manual,25.32,Diesel,Dealer,5,1198,77,4.75,https://www.cardekho.com/used-car-details/used-Mahindra-KUV-100-2016-2017-mFALCON-D75-K4-5str-cars-Amritsar_77023150E199752B30FB981DBA4E295C.htm
332,Ford,Ecosport,2016,First,"40,000",amritsar,Manual,23.0,Diesel,Dealer,5,1498,98.96,6.5,https://www.cardekho.com/used-car-details/used-Ford-Ecosport-2015-2021-1.5-Diesel-Ambiente-BSIV-cars-Amritsar_674627140F411A17635844C87BC1A89D.htm
333,Hyundai,Xcent,2014,Second,"53,000",amritsar,Manual,19.1,Petrol,Dealer,5,1197,82,4.25,https://www.cardekho.com/used-car-details/used-Hyundai-Xcent-2016-2017-1.2-Kappa-S-cars-Amritsar_2D244F1766A108967A8CB2B06AFB2B0E.htm
334,Nissan,Micra,2015,First,"60,000",amritsar,Manual,23.08,Diesel,Dealer,5,1461,63.1,4.35,https://www.cardekho.com/used-car-details/used-Nissan-Micra-2012-2017-Diesel-XL-Optional-cars-Amritsar_CEC744313726F83F73307734C3462404.htm
335,Hyundai,i20,2013,First,"80,000",amritsar,Manual,21.9,Diesel,Dealer,5,1396,88.76,3.9,https://www.cardekho.com/used-car-details/used-Hyundai-i20-2012-2014-Magna-1.4-CRDi-(Diesel)-cars-Amritsar_5E90A191E89DF00E3F4717AF8EF9BA5B.htm
336,Honda,City,2014,First,"80,000",amritsar,Manual,26.0,Diesel,Dealer,5,1498,98.6,6.25,https://www.cardekho.com/used-car-details/used-Honda-City-2015-2017-i-DTec-V-cars-Amritsar_08BDA4A0F76FC99EC47C5ED816740A41.htm
337,Maruti,Celerio,2016,Second,"48,000",amritsar,Manual,27.62,Diesel,Dealer,5,793,47,3.9,https://www.cardekho.com/used-car-details/used-Maruti-Celerio-2014-2017-VDi-cars-Amritsar_21B0208735140478656E2C1851F1A1BC.htm
338,Nissan,Micra,2013,First,"60,000",amritsar,Manual,23.08,Diesel,Dealer,5,1461,63.1,3.75,https://www.cardekho.com/used-car-details/used-Nissan-Micra-2012-2017-Diesel-XL-Optional-cars-Amritsar_28D463D5FB144C22F353FE8988627D9A.htm
339,Volkswagen,Jetta,2009,First,"69,000",amritsar,Manual,14.0,Petrol,Dealer,5,1595,102,3.25,https://www.cardekho.com/used-car-details/used-Volkswagen-Jetta-2007-2011-1.6-Trendline-cars-Amritsar_C0422C05C7F1FAB26F67FC312D8598AA.htm
340,Hyundai,EON,2015,First,"55,000",amritsar,Manual,20.3,Petrol,Dealer,5,998,68.05,3.15,https://www.cardekho.com/used-car-details/used-Hyundai-EON-1.0-Kappa-Magna-Plus-Optional-cars-Amritsar_6F162B94A19E973ED7B6FC888CD4450A.htm
341,Hyundai,Verna,2017,First,"42,000",allahabad,Manual,23.9,Diesel,Dealer,5,1582,126.2,8.5,https://www.cardekho.com/used-car-details/used-Hyundai-Verna-2016-2017-1.6-CRDI-SX-Option-cars-Allahabad_752B4135058CB0AFCBF20A17954DA6E8.htm
342,Maruti,Ertiga,2016,First,"72,000",allahabad,Manual,24.52,Diesel,Dealer,7,1248,88.5,6.9,https://www.cardekho.com/used-car-details/used-Maruti-Ertiga-SHVS-VDI-Limited-Edition-cars-Allahabad_444D10DFA790103C68C36C6C0E3E06B9.htm
343,Mahindra,Scorpio,2016,Second,"76,000",allahabad,Manual,15.4,Diesel,Dealer,8,2179,120,9.5,https://www.cardekho.com/used-car-details/used-Mahindra-Scorpio-S10-8-Seater-cars-Allahabad_9B3A35B6FBEB888CDBD89A7035D839D0.htm
344,Hyundai,i20,2015,First,"57,000",allahabad,Manual,22.54,Diesel,Dealer,5,1396,88.73,5.5,https://www.cardekho.com/used-car-details/used-Hyundai-i20-2015-2017-Magna-1.4-CRDi-cars-Allahabad_E4176D3F2D557B79175EC8BEA1277D54.htm
345,Maruti,Vitara,2017,First,"60,000",allahabad,Manual,24.3,Diesel,Dealer,5,1248,88.5,8,https://www.cardekho.com/used-car-details/used-Maruti-Vitara-Brezza-2016-2020-ZDi-Plus-cars-Allahabad_DA9AC29D6A52AD1599DF1F5257D5CD61.htm
346,Hyundai,i20,2017,First,"32,000",allahabad,Manual,22.54,Diesel,Dealer,5,1396,88.76,6.8,https://www.cardekho.com/used-car-details/used-Hyundai-Elite-i20-2017-2020-Magna-Plus-Diesel-cars-Allahabad_EE0F7DD5086467556BF0295391C6747A.htm
347,Toyota,Innova,2017,First,"70,000",allahabad,Manual,13.68,Diesel,Dealer,7,2393,147.51,14.5,https://www.cardekho.com/used-car-details/used-Toyota-Innova-Crysta-2016-2020-2.4-G-Plus-MT-cars-Allahabad_FAA453224E3E8434CEF711396621590C.htm
348,Maruti,Vitara,2016,First,"63,000",allahabad,Manual,24.3,Diesel,Dealer,5,1248,88.5,7.5,https://www.cardekho.com/used-car-details/used-Maruti-Vitara-Brezza-2016-2020-ZDi-Plus-Dual-Tone-cars-Allahabad_C27BC427965171CCE9322C82FF8C41B0.htm
349,Tata,Safari,2016,First,"72,000",allahabad,Manual,14.1,Diesel,Dealer,7,2179,147.94,7.5,https://www.cardekho.com/used-car-details/used-Tata-Safari-Storme-EX-cars-Allahabad_FC9CCEEBD9C8AD57F016CD298FE4D77F.htm
350,Maruti,Zen,2002,Second,"50,000",allahabad,Manual,17.3,Petrol,Dealer,5,993,60,"75,000",https://www.cardekho.com/used-car-details/used-Maruti-Zen-VXI-cars-Allahabad_33945752E30D727940A2E428AF947F6F.htm
351,Maruti,Wagon,2011,Second,"56,000",allahabad,Manual,21.79,Petrol,Dealer,5,998,67.05,2.25,https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-LXI-Opt-cars-Allahabad_0947DCB1B779E38C2F81D333ECB0DB47.htm
352,Chevrolet,Beat,2012,Third,"55,000",allahabad,Manual,25.44,Diesel,Dealer,5,936,57.6,1.65,https://www.cardekho.com/used-car-details/used-Chevrolet-Beat-2010-2013-Diesel-LT-cars-Allahabad_671FC2321B89380A6A7B010345CE192A.htm
353,Maruti,Swift,2019,First,"15,000",allahabad,Automatic,28.4,Diesel,Individual,5,1248,74.02,7.5,https://www.cardekho.com/used-car-details/used-Maruti-Dzire-2017-2020-AMT-VDI-cars-Allahabad_4BD895202058153F80873AA88972178E.htm
354,Maruti,Swift,2019,First,"30,000",allahabad,Manual,21.21,Petrol,Individual,5,1197,81.80,6.2,https://www.cardekho.com/used-car-details/used-Maruti-Dzire-2017-2020-VXI-1.2-cars-Allahabad_E3F78B21B7E1263FE98ABFE210E45822.htm
355,Maruti,Alto,2012,First,"56,000",allahabad,Manual,19.7,Petrol,Individual,5,796,46.3,1.18,https://www.cardekho.com/used-car-details/used-Maruti-Alto-LX-cars-Allahabad_599F7C3519DBB012FF21E9A78213D95B.htm
356,OpelCorsa,1.4,2004,Fourth & Abov,"60,000",allahabad,Manual,14.2,Petrol,Individual,5,1389,88,"95,000",https://www.cardekho.com/used-car-details/used-OpelCorsa-1.4-GLS-cars-Allahabad_E854DB64D829C13CD74290F1AA2F1B08.htm
357,Mahindra,Scorpio,2016,First,"70,000",allahabad,Manual,15.4,Diesel,Individual,7,1997,120,5.85,https://www.cardekho.com/used-car-details/used-Mahindra-Scorpio-1.99-S4-cars-Allahabad_D5529835F98B9753F99B8909EAEA4714.htm
358,Ford,Figo,2015,Third,"60,000",allahabad,Manual,25.83,Diesel,Individual,5,1498,99,3.55,https://www.cardekho.com/used-car-details/used-Ford-Aspire-1.5-TDCi-Trend-cars-Allahabad_07304B1BAB11242513D14B0B24935153.htm
359,Chevrolet,Aveo,2011,First,"56,405",allahabad,Manual,14.7,Petrol,Individual,5,1150,76,1.35,https://www.cardekho.com/used-car-details/used-Chevrolet-Aveo-U-VA-1.2-LT-cars-Allahabad_5C1A43F75F2B8123C6773581CEEC19FF.htm
360,Mahindra,TUV,2019,First,"25,000",allahabad,Manual,18.49,Diesel,Individual,7,1493,100,7.5,https://www.cardekho.com/used-car-details/used-Mahindra-TUV-300-2015-2019-T4-Plus-cars-Allahabad_58D44431050846B540754F033E82EE6C.htm
361,Maruti,Swift,2014,First,"60,000",abohar,Manual,25.2,Diesel,Individual,5,1248,74,4.75,https://www.cardekho.com/used-car-details/used-Maruti-Swift-VDI-BSIV-cars-Abohar_A9DF3160420A624F0550518EC3EFE50F.htm
362,Maruti,Swift,2013,First,"1,00,000",abohar,Manual,23.4,Diesel,Individual,5,1248,74,4.6,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-2011-2014-ZDI-cars-Abohar_4216B779697610EAB4909767C85CD3FB.htm
363,Tata,Indica,2016,First,"56,000",abohar,Manual,22.3,Diesel,Individual,5,1248,74,2.15,https://www.cardekho.com/used-car-details/used-Tata-Indica-Vista-Quadrajet-LS-cars-Abohar_F8B069884CCC5180FBACF307777B7470.htm
364,Toyota,Innova,2007,Third,"1,05,140",abohar,Manual,12.8,Diesel,Individual,7,2494,102,3.1,https://www.cardekho.com/used-car-details/used-Toyota-Innova-2004-2011-2.5-V-Diesel-7-seater-cars-Abohar_7AA5A97E8F526E4F12E1E3F289C3D5CD.htm
365,Hyundai,i20,2013,First,"1,80,000",abohar,Manual,18.5,Petrol,Individual,5,1197,82.9,3.5,https://www.cardekho.com/used-car-details/used-Hyundai-i20-2012-2014-Magna-Optional-1.2-cars-Abohar_F79D8BF2158A06E8A73076DA41FA9233.htm
366,Maruti,Ertiga,2012,Second,"1,00,000",abohar,Manual,20.77,Diesel,Individual,7,1248,88.76,4.5,https://www.cardekho.com/used-car-details/used-Maruti-Ertiga-2012-2015-VDI-cars-Abohar_09F691CA301FAC8B7B037517C6ADDF5B.htm
367,Maruti,Swift,2009,Third,"2,10,000",abohar,Manual,17.8,Diesel,Individual,5,1248,75,2.7,https://www.cardekho.com/used-car-details/used-Maruti-Swift-2004-2011-Vdi-BSIII-cars-Abohar_8078E9563F4841C7BE1104CBD695FADD.htm
368,Maruti,Swift,2014,Second,"80,000",abohar,Manual,25.2,Diesel,Individual,5,1248,74,4.2,https://www.cardekho.com/used-car-details/used-Maruti-Swift-VDI-BSIV-cars-Abohar_E7BF782E50563F5348525AFA2118D743.htm
369,Maruti,Swift,2009,Second,"1,40,000",abohar,Manual,19.3,Diesel,Individual,5,1248,73.9,2.5,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-2008-VDi-cars-Abohar_7995EF6FABA9DC47BACEECC57927095F.htm
370,Honda,City,2006,First,"40,000",abohar,Manual,17.8,Petrol,Individual,5,1498,119.35,2.15,https://www.cardekho.com/used-car-details/used-Honda-City-ZX-MT-cars-Abohar_C3A0DA2E9378E835F8F73311302C533E.htm
371,Toyota,Etios,2012,First,"60,000",abohar,Manual,17.6,Petrol,Individual,5,1496,null,3.5,https://www.cardekho.com/used-car-details/used-Toyota-Etios-2010-2012-J-cars-Abohar_72278F2FD68EE6C8B7939E689873C869.htm
372,Maruti,Alto,2007,Third,"60,000",abohar,Manual,19.7,Petrol,Individual,5,796,46.3,1.35,https://www.cardekho.com/used-car-details/used-Maruti-Alto-LX-cars-Abohar_DB3FB38A86C6B86BCD519FB9B73051E7.htm
373,Maruti,Swift,2008,Second,"1,20,000",abohar,Manual,17.8,Diesel,Individual,5,1248,75,1.5,https://www.cardekho.com/used-car-details/used-Maruti-Swift-2004-2011-VDi-BSIII-W/-ABS-cars-Abohar_688EACDCEABBDD15C3CC92ACE322FE1D.htm
374,Maruti,Swift,2010,Third,"1,40,000",abohar,Manual,17.8,Diesel,Individual,5,1248,75,2,https://www.cardekho.com/used-car-details/used-Maruti-Swift-2004-2011-Vdi-BSIII-cars-Abohar_7826E6EDFCB59F17943AAB5EADAA958B.htm
375,Maruti,Alto,2008,Second,"1,00,000",abohar,Manual,19.7,Petrol,Individual,5,796,46.3,1.1,https://www.cardekho.com/used-car-details/used-Maruti-Alto-LX-cars-Abohar_FD651E5323A795E754840B838F4B56A1.htm
376,Maruti,Alto,2004,Second,"1,20,000",abohar,Manual,19.7,Petrol,Individual,5,796,46.3,"82,000",https://www.cardekho.com/used-car-details/used-Maruti-Alto-2000-2005-LXI-cars-Abohar_9564B4565231DA4618D74093E9C08841.htm
377,Hyundai,EON,2015,Second,"12,000",adityapur,Manual,21.1,Petrol,Individual,5,814,55.2,2.6,https://www.cardekho.com/used-car-details/used-Hyundai-EON-Sportz-cars-Adityapur_34FFD136BB00B13A57AF910F064747D6.htm
378,Toyota,Fortuner,2015,Second,"1,45,000",adityapur,Automatic,12.55,Diesel,Individual,7,2982,168.5,15,https://www.cardekho.com/used-car-details/used-Toyota-Fortuner-2011-2016-4x2-AT-cars-Adityapur_96A7E9E64AB92C614AAADC73F107964A.htm
379,Maruti,Swift,2016,First,"1,32,000",adoor,Manual,25.2,Diesel,Individual,5,1248,74,4.85,https://www.cardekho.com/used-car-details/used-Maruti-Swift-VDI-Optional-cars-Adoor_BE89B52CB9F2DD4A629BAAB180B76044.htm
380,Toyota,Innova,2008,Second,"1,53,000",adoor,Manual,12.8,Diesel,Individual,7,2494,102,4.95,https://www.cardekho.com/used-car-details/used-Toyota-Innova-2004-2011-2.5-G4-Diesel-7-seater-cars-Adoor_D319C40B1E9A3A987CB8D6EBA649C769.htm
381,Maruti,Alto,2012,First,"70,000",adoor,Manual,22.74,Petrol,Individual,5,796,47.3,1.5,https://www.cardekho.com/used-car-details/used-Maruti-Alto-800-2012-2016-LXI-cars-Adoor_554F42ACE67551D5489C9B06669E31F7.htm
382,Honda,City,2016,Second,"19,000",adoor,Manual,17.8,Petrol,Individual,5,1497,117.3,7.25,https://www.cardekho.com/used-car-details/used-Honda-City-2015-2017-i-VTEC-SV-cars-Adoor_AC427CB93AA7F886FE91DCE121716ECB.htm
383,Tata,Indigo,2014,First,"60,000",agartala,Manual,25.0,Diesel,Individual,5,1396,69.01,2.5,https://www.cardekho.com/used-car-details/used-Tata-Indigo-CS-eLS-BS-IV-cars-Agartala_E5A159E3D169349A156A0C0C4F0F46D6.htm
384,Hyundai,Xcent,2018,First,"15,000",agartala,Manual,20.14,Petrol,Individual,5,1197,81.86,6,https://www.cardekho.com/used-car-details/used-Hyundai-Xcent-1.2-VTVT-SX-cars-Agartala_5A0C41C1F35FED3668D74709E6819FCA.htm
385,Maruti,A-Star,2013,First,"50,000",agartala,Manual,19.0,Petrol,Individual,5,998,66.1,2.5,https://www.cardekho.com/used-car-details/used-Maruti-A-Star-Vxi-cars-Agartala_B8768D5E8475028B6C7E3B2044F777D4.htm
386,Hyundai,Verna,2016,Second,"50,000",agartala,Automatic,17.1,Petrol,Individual,5,1591,121.4,6.5,https://www.cardekho.com/used-car-details/used-Hyundai-Verna-2015-2016-1.6-VTVT-AT-S-Option-cars-Agartala_DA3FA160A99F6EBD4FF4726FA4293086.htm
387,Tata,Manza,2013,First,"4,00,000",agartala,Manual,13.7,Petrol,Individual,5,1368,88.8,4,https://www.cardekho.com/used-car-details/used-Tata-Manza-ELAN-Safire-BS-IV-cars-Agartala_A9BC6544D9748CEE356191EB4D1971AE.htm
388,Tata,Altroz,2020,First,"9,000",agartala,Manual,19.05,Petrol,Individual,5,1199,84.88,8.4,https://www.cardekho.com/used-car-details/used-Tata-Altroz-XZ-Option-cars-Agartala_DD6DAAA867CF381982F8A66251381446.htm
389,Chevrolet,Sail,2015,First,"36,000",agartala,Manual,18.2,Petrol,Individual,5,1199,82.4,3,https://www.cardekho.com/used-car-details/used-Chevrolet-Sail-1.2-Base-cars-Agartala_50AF45EE31820D365AD9E6D20C0104A7.htm
390,Tata,Nexon,2018,First,"10,000",agartala,Manual,17.0,Petrol,Individual,5,1198,108.5,5.5,https://www.cardekho.com/used-car-details/used-Tata-Nexon-2017-2020-1.2-Revotron-XM-cars-Agartala_D9B4BEB48C26C448318D08B7DE18E216.htm
