,manufacturer,car_name,manufacturing_year,no_of_owners,kms_driven,location,city,transmission,mileage,fuel_type,mode_of_sale,seats,engine,max_power,wheel_size,price
343,Mercedes-Benz,B,2014,First,"25,000",Badli,gurgaon,Automatic,14.8,Diesel,Dealer,5,2143,120.7,N/A,12.25
344,Maruti,Swift,2015,First,"55,000",Badli,gurgaon,Manual,21.21,Petrol,Dealer,5,1197,81.80,R14,3.95
345,Audi,Q3,2018,First,"7,000",Palam Vihar,gurgaon,Automatic,16.9,Petrol,Dealer,5,1395,147.51,N/A,28
346,Toyota,Camry,2017,First,"32,000",Gurgaon,gurgaon,Automatic,19.16,Petrol,Dealer,5,2494,157.7,N/A,24.5
347,BMW,6,2019,First,"7,500",Paltra,gurgaon,Automatic,14.28,Petrol,Dealer,4,1998,254.7,N/A,57
348,Mini,Cooper,2019,First,"2,000",Gurgaon,gurgaon,Automatic,16.6,Petrol,Dealer,5,1998,189.08,N/A,34.9
349,Honda,Brio,2012,First,"64,000",Palam Vihar,gurgaon,Manual,19.4,Petrol,Dealer,5,1198,86.8,N/A,2.55
350,Honda,CR-V,2015,First,"74,000",Badli,gurgaon,Automatic,11.1,Petrol,Dealer,5,2354,158.8,17 x 6.5 J,10.9
351,Ford,Ecosport,2017,Second,"29,000",Badli,gurgaon,Manual,15.9,Petrol,Dealer,5,1496,120.69,N/A,6.5
352,Hyundai,Creta,2015,First,"64,000",Badli,gurgaon,Automatic,17.01,Diesel,Dealer,5,1582,126.2,N/A,8.75
353,Honda,WR-V,2019,First,"35,000",,gurgaon,Manual,25.5,Diesel,Individual,5,1498,98.6,R16,7.8
354,Maruti,Baleno,2015,First,"68,000",Sector 57,gurgaon,Manual,27.39,Diesel,Dealer,5,1248,74,N/A,4.99
355,Toyota,Corolla,2018,First,"11,000",Palam Vihar,gurgaon,Automatic,14.28,Petrol,Dealer,5,1798,138.03,N/A,18.25
356,Honda,WR-V,2019,First,"10,000",Sector 12,gurgaon,Manual,17.5,Petrol,Dealer,5,1199,88.7,R16,8.75
357,Nissan,Terrano,2014,First,"83,000",Badli,gurgaon,Manual,19.01,Diesel,Dealer,5,1461,108.5,N/A,4.65
358,Maruti,Ciaz,2017,First,"30,198",Badli,gurgaon,Manual,28.09,Diesel,Dealer,5,1248,88.5,15,6
359,Hyundai,Grand,2015,First,"65,000",Sector 45,gurgaon,Manual,18.9,Petrol,Dealer,5,1197,82,14,3.65
360,Audi,Q3,2018,First,"17,000",Palam Vihar,gurgaon,Automatic,15.17,Diesel,Dealer,5,1968,181,N/A,26.5
361,Renault,Pulse,2014,First,"58,000",,kochi,Manual,23.08,Diesel,Individual,5,1461,63.12,N/A,3.71
362,Maruti,Ertiga,2016,First,"86,000",,kochi,Manual,24.52,Diesel,Individual,7,1248,88.5,15,7
363,Maruti,Swift,2013,First,"1,38,000",,kochi,Manual,18.6,Petrol,Individual,5,1197,85.8,N/A,3.5
364,Maruti,Ertiga,2015,Second,"65,000",,kochi,Manual,16.02,Petrol,Individual,7,1373,93.7,15,6.1
365,Mahindra,Xylo,2009,First,"90,000",,kochi,Manual,14.0,Diesel,Individual,8,2498,112,N/A,2.36
366,Fiat,Linea,2009,Third,"85,000",,kochi,Manual,14.6,Petrol,Individual,5,1368,88.7,N/A,1.25
367,Maruti,Ritz,2013,Second,"1,20,000",,kochi,Manual,23.2,Diesel,Individual,5,1248,73.94,14,3.2
368,Toyota,Etios,2016,First,"1,02,000",,kochi,Manual,23.59,Diesel,Individual,5,1364,67.05,14,6.45
369,Volkswagen,Polo,2011,Second,"1,57,000",,kochi,Manual,22.07,Diesel,Individual,5,1199,73.9,N/A,3
370,Ford,Ecosport,2018,First,"1,245",Kochi,kochi,Manual,17.0,Petrol,Dealer,5,1497,121.36,N/A,10.25
371,Maruti,Ignis,2017,First,"35,318",Kochi,kochi,Manual,20.89,Petrol,Dealer,5,1197,81.80,R15,4.65
372,Tata,Nano,2015,First,"35,342",Kochi,kochi,Manual,25.4,Petrol,Dealer,4,624,37.5,12,1.5
373,Chevrolet,Aveo,2009,First,"97,980",Kochi,kochi,Manual,14.7,Petrol,Dealer,5,1150,76,14 x 5.5 J,1
374,Maruti,Alto,2006,First,"1,21,153",Kochi,kochi,Manual,19.7,Petrol,Dealer,5,796,46.3,N/A,1
375,Hyundai,Verna,2019,First,"20,000",,kochi,Automatic,17.0,Petrol,Individual,5,1591,121.3,N/A,9.5
376,Chevrolet,Beat,2015,First,"40,000",,kochi,Manual,25.44,Diesel,Individual,5,936,56.3,14,1.9
377,Maruti,Ertiga,2018,First,"20,000",,kochi,Manual,,Diesel,Individual,,,,,9
